Iteration, Cost, Drag, Lift, Volume, Fx, Fy, Fz
153,1.03823e-06,1.03823e-06,5.08025e-11,0.0313177,1.03823e-06,5.08025e-11,-4.2812e-25
154,1.03293e-06,1.03293e-06,4.98502e-11,0.0313177,1.03293e-06,4.98502e-11,8.50162e-26
155,1.02769e-06,1.02769e-06,4.89117e-11,0.0313177,1.02769e-06,4.89117e-11,4.82523e-25
156,1.02251e-06,1.02251e-06,4.79949e-11,0.0313177,1.02251e-06,4.79949e-11,-4.61666e-25
157,1.01738e-06,1.01738e-06,4.70919e-11,0.0313177,1.01738e-06,4.70919e-11,2.07051e-25
158,1.0123e-06,1.0123e-06,4.62037e-11,0.0313177,1.0123e-06,4.62037e-11,6.78863e-25
159,1.00728e-06,1.00728e-06,4.53235e-11,0.0313177,1.00728e-06,4.53235e-11,4.88535e-25
160,1.00231e-06,1.00231e-06,4.44821e-11,0.0313177,1.00231e-06,4.44821e-11,5.08809e-25
161,9.97393e-07,9.97393e-07,4.36389e-11,0.0313177,9.97393e-07,4.36389e-11,3.11621e-25
162,9.92527e-07,9.92527e-07,4.28208e-11,0.0313177,9.92527e-07,4.28208e-11,2.5153e-25
163,9.87712e-07,9.87712e-07,4.20111e-11,0.0313177,9.87712e-07,4.20111e-11,-1.32778e-25
164,9.82946e-07,9.82946e-07,4.12162e-11,0.0313177,9.82946e-07,4.12162e-11,-2.96737e-25
165,9.78229e-07,9.78229e-07,4.04471e-11,0.0313177,9.78229e-07,4.04471e-11,-1.26429e-25
166,9.7356e-07,9.7356e-07,3.96809e-11,0.0313177,9.7356e-07,3.96809e-11,5.38147e-25
167,9.68939e-07,9.68939e-07,3.89349e-11,0.0313177,9.68939e-07,3.89349e-11,-9.4309e-25
168,9.64364e-07,9.64364e-07,3.81957e-11,0.0313177,9.64364e-07,3.81957e-11,4.38841e-25
169,9.59834e-07,9.59834e-07,3.74721e-11,0.0313177,9.59834e-07,3.74721e-11,1.61809e-25
170,9.5535e-07,9.5535e-07,3.6764e-11,0.0313177,9.5535e-07,3.6764e-11,-1.73039e-26
171,9.5091e-07,9.5091e-07,3.6065e-11,0.0313177,9.5091e-07,3.6065e-11,1.24666e-25
172,9.46514e-07,9.46514e-07,3.53799e-11,0.0313177,9.46514e-07,3.53799e-11,4.3199e-25
173,9.42161e-07,9.42161e-07,3.47044e-11,0.0313177,9.42161e-07,3.47044e-11,-3.14682e-25
174,9.3785e-07,9.3785e-07,3.40428e-11,0.0313177,9.3785e-07,3.40428e-11,-2.50016e-25
175,9.33581e-07,9.33581e-07,3.33901e-11,0.0313177,9.33581e-07,3.33901e-11,7.62565e-26
176,9.29353e-07,9.29353e-07,3.2751e-11,0.0313177,9.29353e-07,3.2751e-11,2.05503e-25
177,9.25166e-07,9.25166e-07,3.21199e-11,0.0313177,9.25166e-07,3.21199e-11,2.96291e-25
178,9.21018e-07,9.21018e-07,3.15025e-11,0.0313177,9.21018e-07,3.15025e-11,-2.7086e-25
179,9.1691e-07,9.1691e-07,3.0892e-11,0.0313177,9.1691e-07,3.0892e-11,6.74511e-25
180,9.12841e-07,9.12841e-07,3.02971e-11,0.0313177,9.12841e-07,3.02971e-11,4.64538e-25
181,9.0881e-07,9.0881e-07,2.97051e-11,0.0313177,9.0881e-07,2.97051e-11,-6.52109e-26
182,9.04816e-07,9.04816e-07,2.91389e-11,0.0313177,9.04816e-07,2.91389e-11,1.37528e-25
183,9.0086e-07,9.0086e-07,2.85446e-11,0.0313177,9.0086e-07,2.85446e-11,7.04748e-26
184,8.9694e-07,8.9694e-07,2.80004e-11,0.0313177,8.9694e-07,2.80004e-11,1.49105e-25
185,8.93056e-07,8.93056e-07,2.74505e-11,0.0313177,8.93056e-07,2.74505e-11,1.99631e-25
186,8.89207e-07,8.89207e-07,2.69082e-11,0.0313177,8.89207e-07,2.69082e-11,-9.63264e-26
187,8.85394e-07,8.85394e-07,2.63745e-11,0.0313177,8.85394e-07,2.63745e-11,1.20929e-25
188,8.81615e-07,8.81615e-07,2.58423e-11,0.0313177,8.81615e-07,2.58423e-11,1.07514e-25
189,8.7787e-07,8.7787e-07,2.53235e-11,0.0313177,8.7787e-07,2.53235e-11,-6.70948e-26
190,8.74159e-07,8.74159e-07,2.48145e-11,0.0313177,8.74159e-07,2.48145e-11,5.38583e-25
191,8.70481e-07,8.70481e-07,2.43106e-11,0.0313177,8.70481e-07,2.43106e-11,2.9725e-25
192,8.66835e-07,8.66835e-07,2.38215e-11,0.0313177,8.66835e-07,2.38215e-11,-4.07435e-25
